geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1048,-23.54651984318198,-46.6392350841075,sao paulo,SP
1026,-23.53925652899767,-46.633440525535235,sao paulo,SP
1041,-23.544084835131898,-46.63978569372155,são paulo,SP
1106,-23.531062064948905,-46.629505278925556,sao paulo,SP
1126,-23.52790740299499,-46.642218857204675,sao paulo,SP
1152,-23.52729286788048,-46.65889375200534,sao paulo,SP
1139,-23.51935174054843,-46.66240693563204,são paulo,SP
1236,-23.542477438253737,-46.66740182653356,sao paulo,SP
1241,-23.545792634196992,-46.6567234730798,sao paulo,SP
1234,-23.540757527064432,-46.664315262132895,sao paulo,SP
1226,-23.538190850683794,-46.651323227306854,são paulo,SP
1205,-23.53708707744239,-46.64216651708111,sao paulo,SP
1223,-23.543735510964265,-46.65415427699233,sao paulo,SP
1231,-23.532781725229384,-46.657875583126554,sao paulo,SP
1221,-23.546033329447738,-46.649001960038035,sao paulo,SP
1252,-23.54136966388715,-46.68109020843673,sao paulo,SP
1202,-23.532149168474778,-46.64949738940499,sao paulo,SP
1303,-23.551504721622702,-46.64945164585375,sao paulo,SP
1333,-23.565098925695274,-46.64725302700935,sao paulo,SP
1306,-23.554051920624367,-46.6487385976975,são paulo,SP
1306,-23.554051920624367,-46.6487385976975,sao paulo,SP
1329,-23.559670204830052,-46.6477099200761,sao paulo,SP
1332,-23.560667077990644,-46.65212849125743,sao paulo,SP
1404,-23.56708790175425,-46.654359318339246,sao paulo,SP
1422,-23.5666941335045,-46.65792928948581,sao paulo,SP
1409,-23.56788153704775,-46.66429101110849,sao paulo,SP
1433,-23.577661519562607,-46.67074707591319,sao paulo,SP
1441,-23.577709985861734,-46.69330789771487,sao paulo,SP
1415,-23.55150606272721,-46.654135569940564,sao paulo,SP
1406,-23.577892009435065,-46.67491607729814,são paulo,SP
1415,-23.55215376963473,-46.65676609019566,são paulo,SP
1415,-23.55692266916727,-46.66234501595594,sao paulo,SP
1453,-23.583435663338896,-46.68646270038665,são paulo,SP
1532,-23.57418642936694,-46.6357481924808,são paulo,SP
1546,-23.5790024454671,-46.62365495337295,sao paulo,SP
1539,-23.5687519067459,-46.61973282416763,sao paulo,SP
1523,-23.565268435195314,-46.615586348462095,são paulo,SP
1529,-23.567721086877455,-46.634574253534545,sao paulo,SP
1534,-23.56869553926945,-46.626759035951245,são paulo,SP
2013,-23.501039877603997,-46.637789893011686,sao paulo,SP
2022,-23.503235899124,-46.63832674543861,sao paulo,SP
2018,-23.49484388620234,-46.629070255208,sao paulo,SP
2077,-23.501848610046736,-46.59854287330482,sao paulo,SP
2075,-23.50167825895891,-46.60204180405675,sao paulo,SP
2053,-23.520392905360925,-46.606916766576305,sao paulo,SP
2068,-23.503786826533556,-46.61162390175424,são paulo,SP
2180,-23.51796174271452,-46.56586340175424,sao paulo,SP
2125,-23.510176637803664,-46.58742229961336,sao paulo,SP
2168,-23.52218624279628,-46.57970414962962,sao paulo,SP
2110,-23.519598653727655,-46.59771857382514,sao paulo,SP
2121,-23.509798868168936,-46.592326749379616,sao paulo,SP
2228,-23.475620713572624,-46.5727765022217,são paulo,SP
2221,-23.479773590339907,-46.581794424086816,sao paulo,SP
2241,-23.48992583152521,-46.60705911587513,sao paulo,SP
2250,-23.486577736886147,-46.59899416763807,sao paulo,SP
2245,-23.487079903139225,-46.60767227852153,sao paulo,SP
2236,-23.471761777684804,-46.566373562727215,sao paulo,SP
2220,-23.490897747157923,-46.57737378420567,são paulo,SP
2223,-23.47990872661436,-46.578694227451074,sao paulo,SP
2210,-23.481619752986298,-46.58292890022502,sao paulo,SP
2316,-23.463805442408685,-46.59571616111719,sao paulo,SP
2313,-23.465206645565292,-46.598497748398685,sao paulo,SP
2332,-23.487495433521886,-46.62233893199268,sao paulo,SP
