product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
46b48281eb6d663ced748f324108c733,,,,,18500,41,30,41
93c285dad77a797cf2193ead6afbe107,utilidades_domesticas,53,524,1,1800,25,7,20
37c8b2425c9c0455491b06ad8671c224,cool_stuff,57,1255,4,198,17,9,15
fac0337908b983ba98c810f03d25f278,cama_mesa_banho,49,729,1,3850,20,30,30
b76d57984db550fe9e6f3ad3467e3025,market_place,63,1498,4,1800,20,40,21
8aba0cf5748dc396ec71bfdb0624a2fe,esporte_lazer,40,1213,5,300,40,10,15
39fc0322ba2fdb70b5c3f6ff32baa4a5,moveis_decoracao,56,282,1,1250,45,8,35
9e8312642841e9458b0d72c652c01766,casa_construcao,53,871,6,450,16,20,16
a2a7efc985315e86d4f0f705701b342b,informatica_acessorios,45,837,1,1133,16,15,20
79d7da51bcd8d7722a6db7b3c285e218,alimentos_bebidas,59,1562,1,500,20,20,20
0290cc426311fb177fe19e513a7dc349,automotivo,51,244,1,1000,20,20,20
1c33c71830d320620439a3236a1c4ae1,livros_interesse_geral,54,2931,3,2200,19,26,11
d0be993a2140a8cfe0a106b6c2d974b6,construcao_ferramentas_construcao,40,1973,9,200,40,4,30
b7db1a22a9e89c9749d7386c4f0ff639,automotivo,55,1311,3,400,16,7,20
1efe84b450fd2e07ceac3cd1ace28348,malas_acessorios,57,488,3,19100,40,78,41
8eea5d1c23054af9c31cbac7f9b27af3,cama_mesa_banho,59,140,1,1150,36,8,27
0a7a5763f6ee3b862ca27208f8fbbdb7,,,,,1000,20,15,20
eef398550dd9575d23eb2d8be74bd45a,,,,,1100,35,15,20
7fb9118562782456232ad0c6e54386be,beleza_saude,54,1256,1,2200,36,11,19
ac1789e492dcd698c5c10b97a671243a,moveis_decoracao,41,432,2,300,35,35,15
d1ea79912538f8c08574d206777837bf,livros_interesse_geral,54,429,5,650,25,12,20
fcbdd87d29fc2d2fe700a7459d43445a,papelaria,39,310,1,300,16,4,11
cdd68c0ef3e507db79631336cf9ec285,moveis_decoracao,49,494,2,450,30,20,20
3a5dc69f4360ae2f4561d165c2ee8fae,bebes,51,410,1,550,43,25,33
02aa16706915b09bedf8409296478283,esporte_lazer,31,798,2,200,16,6,20
1a4abdf8e4e0329e516e6e55260bb1d7,ferramentas_jardim,35,382,1,600,16,7,22
d1db93ee359151f621a234e05eca4ac9,moveis_decoracao,63,461,2,800,80,10,60
714e305d7c565927c0ede7012c1c5c7c,ferramentas_jardim,43,478,1,17533,58,58,59
21efeb0e47f3328f86002eda80b63321,fashion_roupa_masculina,28,696,2,100,16,2,11
6c04a068e5ab37749c980c42a036b9e3,automotivo,52,1367,1,200,16,2,11
becdef3ca4da8b5dca0f783acc5ee300,malas_acessorios,50,279,1,1400,45,20,35
d9a5a5120d4d357871acd5408cb10e18,fashion_bolsas_e_acessorios,40,817,1,100,16,5,16
94021629fe94938c83a4bcd146938d8b,telefonia,49,374,2,100,19,3,12
16aa6553ee2cf0a316e29f8808ab165c,perfumaria,53,521,1,500,16,16,22
e855dc52ff8689424725e4a7dea082bf,eletrodomesticos,60,404,1,4550,27,13,17
68106dcce45696d316763cb7e5678487,beleza_saude,54,1769,1,500,20,12,14
71040c7f50609abf6865f4429f8b1035,beleza_saude,56,3900,1,3450,30,30,16
2ca577417c24f9ac43a02a55de095d32,cama_mesa_banho,59,884,1,450,28,10,26
737d944446ee3b1e8c234bc57ecf7ca8,cama_mesa_banho,58,274,1,2900,47,13,35
d8243785d7ff92726cf5c74caf11a6e4,eletrodomesticos,40,72,1,150,20,13,15
dbd8772797eb43bcb24b0f7fba3b8839,alimentos_bebidas,53,402,2,10800,45,25,26
153d581044c5b30836c5a7d56687a735,esporte_lazer,51,2999,1,1150,105,10,15
7aa1ab866537ff58ef91e90e3df92134,informatica_acessorios,54,3382,6,825,18,26,22
fcad6e5643f855de4b616a24e6dd25e4,cama_mesa_banho,53,334,1,15150,63,30,43
c1fe5eee19b0b5ef9cd3172bbb995bbc,moveis_decoracao,41,318,1,2300,37,30,20
77cc62dc80ebe12a0452d1ce0565acdc,esporte_lazer,45,2950,1,1625,29,21,21
d076ce587de2ab3cb36f6c34f5ec1c8c,moveis_sala,31,277,1,6100,55,13,51
8734d9a13b93f1f8addd0be7c53b6928,dvds_blu_ray,38,674,1,1000,20,16,14
e3f7b3cbb0ccf1f1e361e6974b22e346,cama_mesa_banho,56,608,1,650,16,10,16
46fce52cef5caa7cc225a5531c946c8b,beleza_saude,48,398,2,54,22,2,15
37108281cfb6d9fa07baf471f27eed76,papelaria,53,1291,3,500,25,15,20
f919da4f716dc149cef4551a322001fd,moveis_decoracao,50,635,1,1200,30,23,30
a5e130225bfc3dde1f8ec32d8c37b66d,moveis_decoracao,47,450,4,900,20,15,20
0b3f73dba78abf4576c187092dc5dc81,,,,,1300,30,16,20
1c4dbd58e9b07007a271122f96bb0add,cama_mesa_banho,52,627,1,6350,30,30,30
4e1d66c3236bdab451c67f91432035ee,informatica_acessorios,38,338,1,888,20,15,13
9d04b62c69bd020f5b68d1f887b7c930,eletronicos,60,262,1,100,19,13,15
f9912baa2dc6e701cce5431f13339b4e,esporte_lazer,55,946,1,500,20,20,20
953107f6a9859bfebd242f5f03fe1585,pet_shop,54,555,3,15200,52,53,38
eb58ba0cc905a32c0d7235fc459b0b39,automotivo,59,703,6,5650,47,19,23
6d12af216c3a452ad40ca5ccb6f15929,cama_mesa_banho,60,124,3,1000,22,13,17
a73f8a8294cb767f0823d21c2b1dba6f,papelaria,54,181,3,800,25,55,35
860d51f23d7ca3111d26ee05bf1aa355,cool_stuff,24,243,5,250,24,15,16
81fad99d75a97d6ea46263987cc218a9,moveis_decoracao,54,553,1,900,35,9,25
0030e635639c898b323826589761cf23,ferramentas_jardim,40,437,1,1550,26,6,20
8e070d077d43019c6ab43765f69d8401,cama_mesa_banho,49,1904,1,1200,60,15,40
c33af1c0bec994ff07664ab6dcae7a86,moveis_decoracao,52,212,1,800,23,3,23
0c159d7ce798ebc726ad977f9ade848a,ferramentas_jardim,46,356,1,250,35,7,11
f695f05f9b5b47de78cd7278d748487f,perfumaria,35,253,1,125,24,9,21
61163b3973f637171715b4698c9df7f9,bebes,60,443,2,1100,34,28,21
1168d8ebfef41c2720053c4c9f78ac87,moveis_decoracao,52,2082,2,1050,69,11,11
d4d998605a20a7c575f53f6c8be0cde5,bebes,58,823,5,30000,98,57,45
1346e52897253207e49624d96aa60471,eletrodomesticos,57,844,1,1550,30,10,15
fce15962a64fe4b658917a18983fb266,beleza_saude,24,311,1,550,48,11,11
5157edbb01652b0efc0be7ba1107e0f5,market_place,28,761,4,150,25,5,24
0ac4f23a50ad9369ab5d78b1f068f6d3,eletroportateis,56,444,4,11250,40,40,40
